Index,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2023-12,2023,12,0,23.4672428571429,26.3025714285714,30.4164,60.9173428571429,81.0015857142857,95.6863285714286,1,25813,245,0.0,0.0,0.0,0,0,0
2024-01,2024,01,0,23.878435714285725,27.058228571428575,31.39595,52.25370000000002,75.56568214285713,94.18443214285713,1,25813,245,0.0,0.0,0.0,0,0,0
2024-02,2024,02,5,23.425475000000024,25.927378571428576,29.3758892857143,67.61414642857142,84.36135000000003,96.05262857142857,1,25813,245,0.46492915749999997,4.84252125,5.4117705,0,0,0
2024-03,2024,03,30,23.26836857142856,25.576128571428576,28.84275714285716,72.98689428571429,87.86561428571429,97.45373999999997,2,25813,245,0.588410337,23.244101999999998,1.817904216,1,0,0
2024-04,2024,04,29,23.108803571428552,25.628842857142875,29.02224285714285,69.8112392857143,86.83234999999999,97.94617857142859,2,25813,245,0.6498581750000001,28.086622499999997,1.2527138,1,0,1
2024-05,2024,05,14,22.906957142857127,25.61274285714285,29.209046428571426,62.81098928571427,83.23750714285714,96.74835714285712,2,25813,245,0.20852500750000003,13.5590595,0.57142481,1,0,0
2024-06,2024,06,53,21.73550857142856,24.91591714285716,28.798705714285717,58.160731428571395,80.27778857142859,95.60707142857142,4,25813,245,0.827970406,41.0645798,1.9762444300000002,1,0,1
2024-07,2024,07,62,21.138217857142877,25.376832142857126,30.6872892857143,40.182242857142846,66.8481464285714,88.30209642857139,4,25813,245,0.48403509749999996,60.047263,1.03533264,0,0,2
2024-08,2024,08,38,21.33158214285715,26.010121428571402,32.243942857142855,33.37283928571425,63.56575714285713,85.71887500000003,1,25813,245,0.25468045,36.803161749999994,0.71936016,0,0,1
2024-09,2024,09,8,22.121771428571456,26.509474285714298,33.07812571428572,32.63879714285714,63.316734285714304,84.23973714285715,1,25813,245,0.0807742496,6.1984272,0.275928264,0,0,0
2024-10,2024,10,5,22.999139285714275,26.572225,32.236421428571425,39.7327892857143,68.34322142857143,88.86963214285714,1,25813,245,0.416514915,4.84252125,1.435801925,0,0,0
2024-11,2024,11,1,23.304964285714274,27.025150000000004,32.75494642857142,38.41457857142855,67.904875,89.34689285714288,1,25813,245,0.221400675,0.96850425,1.42638325,0,0,0
2024-12,2024,12,0,23.450732142857124,26.67959285714285,31.54098214285715,48.66343214285715,74.40844642857144,93.14531428571428,1,25813,245,0.0,0.0,0.0,0,0,0
