ME,ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano,p_rt1,p_inc100k,Rt,receptivo,transmissao,nivel_inc
2015-09,2015,09,1,24.857142857142875,26.921359785714277,29.85714285714285,44.74999999999998,64.27204703571428,76.82142857142857,1,15036,513,0.172189325,1.66267625,0.4647424,0,0,0
2015-10,2015,10,0,25.10714285714285,27.301280214285725,30.285714285714274,48.892857142857125,67.96631667857145,80.85714285714288,1,15036,513,0.0,0.0,0.0,0,0,0
2015-11,2015,11,1,25.56785714285714,27.6955286142857,30.696428571428577,52.060714285714276,69.40658134285714,81.6892857142857,1,15036,513,0.19265358,1.330141,3.7043236,0,0,0
2015-12,2015,12,2,25.89285714285715,26.90799789285715,28.25,67.99999999999999,77.01551857142857,83.14285714285712,1,15036,513,0.24154695,3.3253525,3.08693625,0,0,0
2016-01,2016,01,2,25.3142857142857,26.40736417142856,27.714285714285722,72.85714285714286,83.72050245714289,91.0,1,15036,513,0.190788006,2.660282,1.8521616,0,0,0
2016-02,2016,02,1,25.892857142857125,27.176136321428576,28.60714285714285,71.42857142857143,81.57112317857143,88.92857142857139,1,15036,513,0.1721889675,1.66267625,0.464739825,0,0,0
2016-03,2016,03,0,25.571428571428598,26.79186189285715,28.214285714285698,76.0,85.60434139285715,92.32142857142858,1,15036,513,0.0,0.0,0.0,0,0,0
2016-04,2016,04,71,25.357142857142826,26.90526,28.607142857142875,72.2857142857143,83.14286878571428,90.64285714285712,3,15036,513,0.739895225,118.05001375,7.851863625,1,1,1
2016-05,2016,05,95,25.657142857142862,26.64837265714284,27.628571428571444,75.74285714285716,83.46798088571428,89.82857142857141,4,15036,513,0.2836689064,126.36339400000001,0.80826518,1,0,2
2016-06,2016,06,19,24.7857142857143,26.100850428571427,27.5,68.46428571428572,77.45569692857143,84.07142857142856,4,15036,513,0.042615446424999995,31.59084875,0.30245844,0,0,0
2016-07,2016,07,0,24.25714285714286,25.751468314285724,27.1142857142857,66.17142857142854,75.98236574285713,83.22857142857143,1,15036,513,0.0,0.0,0.0,0,0,0
