SE,casos,p_rt1,p_inc100k,nivel,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
201714,26,0.99997205,172.91833,2,5.2522025,15036,25.2857142857143,93.4285714285714,1,1,2,87.4538872857143,79.8571428571429,26.2487684285714,27.4285714285714,513
201713,7,0.78969896,46.554935,2,1.5932938,15036,25.0,95.7142857142857,1,0,1,91.5809522857143,86.7142857142857,25.9214285714286,27.2857142857143,513
201712,1,0.040879227,6.650705,2,0.21680272,15036,24.7142857142857,94.2857142857143,1,0,0,90.5498314285714,85.0,25.6204101428571,26.5714285714286,513
201711,4,0.7520869,26.60282,1,1.6679647,15036,25.0,95.0,1,0,0,88.4002255714286,80.7142857142857,25.9613622857143,27.2857142857143,513
201710,9,0.9994378,59.856346,1,16.669455,15036,25.0,93.4285714285714,1,1,1,88.0236005714286,81.2857142857143,26.3071924285714,27.5714285714286,513
201709,0,0.0,0.0,1,0.0,15036,24.0,96.5714285714286,0,0,0,92.5039691428571,85.0,25.0170067142857,26.4285714285714,513
201708,0,0.0,0.0,1,0.0,15036,25.1428571428571,93.4285714285714,0,0,0,87.1720514285714,79.1428571428571,26.0566894285714,26.8571428571429,513
201707,0,0.0,0.0,1,0.0,15036,25.2857142857143,89.7142857142857,0,0,0,85.98593,80.0,25.8496542857143,26.8571428571429,513
201706,1,0.9632679,6.650705,1,18.521618,15036,25.7142857142857,88.2857142857143,1,0,0,82.4031251428571,76.5714285714286,26.9534854285714,27.7142857142857,513
201705,0,0.0,0.0,1,0.0,15036,26.1428571428571,85.4285714285714,0,0,0,80.9655171428571,75.8571428571429,26.7902887142857,27.5714285714286,513
201704,0,0.0,0.0,1,0.0,15036,25.5714285714286,89.0,0,0,0,81.9755437142857,73.7142857142857,26.7419951428571,27.8571428571429,513
201703,0,0.0,0.0,1,0.0,15036,25.1428571428571,88.8571428571429,0,0,0,82.8632648571429,75.2857142857143,26.3527211428571,27.2857142857143,513
201702,0,0.0,0.0,1,0.0,15036,25.0,88.7142857142857,0,0,0,83.3635685714286,77.0,25.9100528571429,26.5714285714286,513
201701,0,0.0,0.0,1,0.0,15036,26.2857142857143,86.7142857142857,0,0,0,79.1232991428571,68.8571428571429,27.1607144285714,28.1428571428571,513
201652,0,0.0,0.0,1,0.0,15036,26.0,83.8571428571429,0,0,0,76.3163257142857,65.8571428571429,27.260204,28.2857142857143,513
201651,0,0.0,0.0,1,0.0,15036,26.0,83.8571428571429,0,0,0,76.3877557142857,66.8571428571429,27.1496597142857,28.1428571428571,513
